number of bathrooms,living area,number of floors,waterfront present,number of views,grade of the house,Area of the basement,living_area_renov
2.5,3180,2.0,0,0,10,0,3180
2.5,3240,2.0,0,0,10,0,2970
1.75,1330,1.0,0,0,8,0,1690
2.5,2730,2.0,0,2,9,0,2750
2.0,2350,1.5,0,0,8,540,2170
2.5,2120,1.0,0,0,7,500,1570
1.75,2010,1.5,0,0,7,0,2010
2.5,3180,2.0,0,3,9,0,3715
2.5,2450,2.0,0,0,8,0,2970
2.5,2490,2.0,0,0,9,0,2130
2.5,1680,3.0,0,0,9,0,1950
2.5,2800,1.0,0,0,8,1140,2580
1.0,1390,1.0,0,0,7,340,1810
1.5,2160,1.0,0,2,8,760,3010
2.5,2440,2.0,0,0,9,0,1350
2.25,1990,1.0,0,0,8,780,1720
1.75,1480,2.5,0,0,9,0,1480
2.0,1800,1.0,0,0,7,720,1800
1.75,2300,1.0,0,0,9,340,2840
1.75,1670,1.0,0,0,8,0,2330
1.75,1880,1.0,0,0,7,840,1770
1.0,1770,1.5,0,0,6,250,1060
1.0,2540,1.0,0,0,8,1220,2160
2.25,2010,1.0,0,0,8,680,2080
2.5,1900,2.0,0,0,8,0,2030
2.5,1940,2.0,0,0,8,0,1880
1.0,1140,1.0,0,0,7,0,1520
2.5,2910,2.0,0,0,8,0,2500
2.75,2740,1.0,0,0,8,1370,2020
3.0,1270,2.0,0,0,8,160,1290
1.75,2550,1.0,0,0,7,740,2170
1.75,1560,1.0,0,0,6,780,1470
2.5,1790,2.0,0,0,8,0,1890
1.0,2070,1.0,0,0,7,910,1730
2.5,2910,2.0,0,0,7,0,2320
2.75,3200,1.0,0,2,8,1600,2220
1.75,2010,1.0,0,0,7,540,1840
3.0,2340,1.0,0,0,8,1000,1440
2.5,3040,2.0,0,0,9,0,2670
2.0,1480,1.5,0,0,7,0,1480
2.0,1840,1.0,0,0,7,300,1200
2.5,1590,2.0,0,0,8,0,1590
2.0,1410,1.5,0,0,7,0,1410
2.5,1408,3.0,0,0,8,0,1408
2.25,1620,2.5,0,0,8,80,1620
2.25,1800,1.0,0,0,8,440,2730
2.25,1410,3.0,0,0,8,0,1430
3.0,1410,2.0,0,0,8,270,1410
1.75,2110,1.0,0,0,7,0,1480
1.0,840,1.0,0,0,7,0,1630
2.5,2230,2.0,0,0,7,0,1310
2.5,3090,1.0,0,0,8,1340,1760
1.75,1970,1.0,0,0,7,830,1820
3.0,1571,3.0,0,0,8,0,1520
1.0,1120,1.5,0,0,7,0,1310
1.5,1160,2.0,0,0,7,0,1220
1.0,1140,1.5,0,0,6,0,1450
2.5,2370,2.0,0,0,9,0,2590
2.75,2310,2.0,0,0,7,0,1980
2.5,1880,2.0,0,0,7,0,1810
2.0,1050,1.0,0,0,7,0,1130
1.0,1450,1.0,0,0,7,0,1170
2.0,1550,1.0,0,0,6,0,1510
1.75,1920,1.0,0,0,7,920,1860
1.0,1200,1.0,0,0,6,0,1200
1.5,1240,1.0,0,0,7,0,1240
1.5,1120,1.0,0,0,6,0,1150
1.0,1340,1.0,0,0,5,0,1800
2.0,2050,1.0,0,0,6,620,1940
1.0,810,1.0,0,0,6,0,1090
1.75,1490,1.0,0,0,7,0,2488
4.0,4510,2.0,0,0,10,0,3510
5.0,4490,2.0,0,0,10,560,2490
3.25,3760,1.5,0,0,9,1360,3430
2.25,3490,2.0,0,0,10,1210,2540
2.75,3370,1.0,0,3,9,1400,2120
2.5,2200,2.0,0,0,9,590,1890
2.5,2690,3.0,0,0,10,0,2040
3.5,3020,2.0,0,0,9,940,2060
2.0,3740,2.0,0,0,9,0,3180
2.5,3040,2.0,0,0,8,0,3040
2.5,3880,2.0,0,0,10,0,3240
2.5,2290,2.0,0,0,9,0,3130
2.5,3200,2.0,0,0,10,0,3770
2.5,3030,2.0,0,0,9,0,2790
1.0,930,1.0,0,2,6,0,2800
3.5,3380,2.0,0,0,8,0,2220
1.5,1630,1.0,0,1,7,470,2320
3.5,3480,2.0,0,0,8,990,2540
2.0,2060,1.0,0,0,7,1030,1280
3.0,2450,1.0,0,0,8,870,2530
2.5,2150,2.0,0,0,9,0,2450
2.5,2110,2.0,0,0,9,0,2520
2.25,2260,2.0,0,0,8,860,2770
3.25,3569,2.0,0,0,10,0,2550
1.75,2130,1.0,0,2,8,960,2020
3.0,3100,2.0,0,0,8,700,2000
2.25,3040,2.0,0,0,8,0,2020
2.0,2000,2.0,0,0,7,0,1840
2.5,1850,2.0,0,0,8,0,1780
2.75,1800,1.5,0,0,7,400,1400
2.5,2910,1.0,0,0,7,1220,2830
2.5,2970,1.0,0,0,9,1200,2990
2.5,2460,2.0,0,0,8,0,2770
1.5,1430,1.0,0,0,7,0,1450
2.5,1790,2.0,0,0,8,0,1680
2.5,2000,2.0,0,0,8,0,2210
2.5,1480,3.0,0,0,8,0,1480
1.75,1170,1.0,0,0,7,430,1570
2.0,2020,1.5,0,0,7,0,1510
2.0,1420,1.5,0,0,7,0,1420
1.75,1660,1.0,0,0,7,500,1660
2.5,2740,2.0,0,0,8,0,2080
3.0,3470,1.5,0,0,7,0,2120
1.0,1030,1.0,0,0,7,0,1400
2.25,1970,1.0,0,0,8,790,1970
2.25,1230,2.0,0,0,8,210,1270
2.5,2240,1.0,0,0,7,900,1820
2.0,1100,1.5,0,0,7,0,1390
2.0,1520,1.0,0,0,7,0,1520
2.25,2810,1.0,0,1,7,1100,1860
1.75,1840,1.0,0,0,7,880,1840
2.0,1440,1.0,0,0,7,240,1460
1.75,1260,1.0,0,0,7,0,1500
3.75,2890,1.0,0,0,7,1580,1930
1.0,1230,1.0,0,0,7,0,1270
1.75,1900,1.0,0,0,7,620,1330
1.75,1500,1.0,0,0,7,500,1740
2.0,1270,3.0,0,0,8,0,1370
1.5,1410,1.0,0,0,8,0,2090
1.5,1310,1.0,0,0,7,0,1090
2.25,1640,1.0,0,0,7,500,2020
2.0,2680,1.0,0,0,8,0,1230
1.0,1350,1.0,0,0,6,490,1130
2.5,2331,2.0,0,0,8,0,2441
1.0,1110,1.0,0,0,7,0,2010
1.0,720,1.0,0,0,6,0,840
2.5,1890,1.0,0,0,7,910,1590
1.0,1510,1.0,0,0,6,650,1510
2.0,1300,1.0,0,0,7,0,1560
2.25,1980,1.0,0,0,9,420,2360
2.5,2000,2.0,0,0,7,0,2330
1.75,1630,1.0,0,0,7,0,2090
1.75,1580,1.0,0,1,7,480,1650
2.5,1650,2.0,0,0,7,0,1650
1.0,1050,1.0,0,0,6,0,1500
1.75,1490,1.0,0,0,7,480,1490
1.0,900,1.0,0,0,6,0,900
1.75,1850,1.0,0,0,8,530,1940
1.75,1690,1.0,0,0,7,630,1580
1.5,800,1.0,0,0,6,0,820
1.0,1010,1.0,0,0,7,0,1440
1.5,1420,1.0,0,0,6,0,1200
1.0,780,1.0,0,0,5,0,1700
4.5,6210,2.5,0,2,11,1450,2940
4.5,4270,2.0,0,0,11,870,4100
2.5,3560,2.5,0,0,11,0,2780
3.0,2960,2.0,0,2,10,520,2960
4.0,4460,2.0,0,0,11,0,3470
1.5,2310,1.0,0,0,7,420,2840
3.5,3900,2.0,0,0,10,0,3820
2.25,1890,1.0,0,1,9,420,2430
3.75,4130,2.0,0,0,9,960,4130
2.0,2210,1.0,0,1,8,1000,2190
2.0,2540,1.5,0,3,8,940,2040
2.75,2410,1.0,0,0,7,630,2090
2.75,2520,1.0,0,0,7,1160,1800
2.75,2600,2.0,0,0,8,640,1990
2.5,2650,1.5,0,0,8,1130,1690
2.0,1760,1.0,0,0,7,780,1760
1.75,1680,1.0,0,0,8,0,2250
4.0,3680,2.0,0,0,10,0,3200
2.5,3240,2.0,0,0,10,0,2090
3.0,2270,2.0,0,0,9,140,2850
2.5,2680,2.0,0,0,8,0,2020
2.25,2550,1.0,0,0,10,830,2560
2.5,2030,2.0,0,0,8,0,2030
3.0,1680,3.0,0,0,8,0,1640
2.5,2460,1.0,0,0,9,600,2870
4.5,3830,2.5,0,0,7,1380,1460
1.75,1960,1.0,0,0,7,870,1960
2.0,2510,1.0,0,0,7,1230,1220
2.0,1650,1.0,0,0,7,0,1690
2.0,2350,1.5,0,0,8,570,1700
3.0,4120,2.0,0,2,9,940,2770
2.0,1860,1.0,0,0,8,0,1960
5.75,3700,2.0,0,1,8,0,2510
1.75,2720,1.5,0,0,9,0,2560
2.5,2280,2.0,0,0,8,400,2280
1.0,1340,1.0,0,0,7,260,1960
2.0,1550,1.5,0,0,7,0,1180
2.25,1170,3.0,0,0,8,0,1350
1.75,1580,1.0,0,1,7,370,2600
2.5,2430,2.0,0,0,8,0,2260
2.75,1540,1.0,0,0,7,330,1540
1.0,1010,1.5,0,0,7,0,1770
2.5,1940,1.0,0,0,8,0,2560
1.0,990,1.0,0,0,6,0,1250
2.75,2656,2.0,0,0,9,0,1860
2.5,3305,1.5,0,0,7,1060,1620
2.0,1610,1.0,0,0,7,600,1040
2.5,2180,1.0,0,0,8,0,1790
1.0,820,1.0,0,0,7,0,1370
2.0,1760,2.0,0,0,7,0,2010
1.75,1500,1.0,0,0,6,440,1740
2.0,1350,1.0,0,0,8,0,1440
2.5,1150,3.0,0,0,8,0,1360
1.5,1040,1.5,0,0,6,0,1340
2.25,1770,2.0,0,0,7,0,1650
2.25,1606,3.0,0,0,8,0,1516
3.0,1830,2.0,0,0,7,0,1740
2.75,2140,1.0,0,0,7,820,2360
2.25,1660,1.0,0,0,8,0,2510
1.75,3000,1.0,0,0,7,1500,2230
1.0,1640,1.0,0,0,7,800,2440
2.5,1830,2.0,0,0,8,0,1940
2.75,2410,1.0,0,0,7,1000,1590
1.0,820,1.0,0,0,7,0,1490
2.5,2420,1.0,0,2,7,800,2210
1.0,1010,1.0,0,0,6,0,1470
2.25,1630,2.0,0,0,7,0,1730
1.0,820,3.0,0,0,8,0,820
2.0,1570,1.0,0,0,7,0,1410
1.0,1040,1.0,0,0,7,0,1660
1.75,1870,1.0,0,0,8,0,1950
1.75,2190,1.0,0,0,8,0,1980
1.75,1840,1.0,0,0,7,620,1590
1.75,2070,1.0,0,0,7,650,2011
2.5,1600,2.0,0,0,7,0,1500
1.0,760,1.0,0,0,6,0,1750
2.5,1600,2.0,0,0,7,0,1700
2.5,1600,2.0,0,0,8,0,1700
1.5,1500,1.0,0,0,6,740,1200
2.25,2060,1.0,0,0,7,1030,1010
1.75,1250,1.0,0,0,7,0,1980
1.0,1100,1.0,0,0,6,280,1100
1.0,1110,1.0,0,0,7,0,1140
1.75,1720,1.0,0,0,7,0,1220
1.0,1400,1.0,0,0,6,0,1070
1.5,1260,2.0,0,0,7,220,1260
2.0,1410,1.0,0,0,7,0,1570
2.5,1920,2.0,0,0,8,0,1930
1.75,1640,1.0,0,0,7,510,1680
1.5,1380,1.0,0,0,7,0,1380
1.0,1490,1.0,0,0,7,0,1280
1.0,1040,1.0,0,0,6,0,910
1.0,910,1.0,0,0,6,0,1326
3.0,3510,2.5,0,0,10,0,3450
1.75,2430,1.0,0,2,8,1090,2930
3.25,2800,1.5,0,0,10,890,2450
3.25,3820,2.0,0,1,11,510,2900
3.0,2920,1.0,0,3,8,1460,2970
1.0,3410,2.0,0,0,8,1220,2550
2.75,2015,2.0,1,4,9,0,1780
2.5,3160,1.0,0,0,9,1380,3260
3.25,2640,2.0,0,0,9,800,1990
2.5,2920,3.0,0,0,10,0,2920
2.0,1910,1.5,0,0,8,0,1360
3.0,3040,1.0,0,0,9,1070,3180
2.75,3010,2.0,0,0,9,0,2950
1.75,2480,1.0,0,0,7,1090,2440
2.5,2660,2.0,0,2,9,0,3620
2.5,1690,1.5,0,1,8,0,2140
2.5,3290,2.0,0,0,9,0,3100
1.0,1250,1.5,0,0,7,100,1900
1.75,1320,1.5,0,0,7,0,1440
1.75,2060,1.0,0,0,8,900,2590
1.75,1230,1.5,0,0,7,0,1210
1.0,1540,1.0,0,0,7,720,1420
2.5,1750,2.0,0,0,7,0,1750
3.0,3160,2.0,0,0,7,0,3140
2.25,2250,2.0,0,0,8,0,2350
2.0,1870,1.0,0,0,8,0,1670
2.5,1360,2.0,0,0,8,310,1430
2.25,1780,2.0,0,2,8,0,2440
2.25,2820,1.5,0,2,7,850,2520
1.75,1840,1.0,0,0,7,620,1770
2.5,2550,2.0,0,0,7,0,2550
2.5,2280,2.0,0,0,8,0,2300
1.0,1670,1.0,0,0,7,500,1560
1.75,1980,1.0,0,0,8,0,2120
2.75,2280,1.5,0,0,7,740,1680
2.25,2430,1.0,0,0,8,0,2800
1.0,1060,1.0,0,0,7,0,1420
1.75,1410,3.0,0,0,8,0,1350
1.5,1110,2.0,0,0,8,180,1680
2.5,2310,2.0,0,0,8,0,2440
2.25,2440,1.5,0,0,8,0,2670
2.0,1510,1.0,0,0,7,0,2060
1.5,1020,3.0,0,0,8,0,1340
1.0,980,2.0,0,0,8,0,1190
1.75,1310,1.0,0,0,7,0,1310
1.75,1460,1.0,0,0,7,0,1720
2.5,1540,3.0,0,0,8,70,1540
1.0,1020,1.0,0,0,7,0,1430
2.75,2090,2.0,0,0,8,0,2280
2.5,1960,1.0,0,0,7,670,1960
1.75,1890,1.0,0,0,7,660,1380
2.25,3206,2.0,0,0,7,0,2527
1.5,960,2.0,0,0,7,0,1290
1.75,2250,1.0,0,0,8,100,2150
1.75,1590,1.0,0,0,7,0,2980
2.5,2460,2.0,0,0,9,0,2390
1.5,2240,1.5,0,0,7,760,1920
2.0,1550,1.5,0,0,7,0,1600
2.5,2320,2.0,0,0,8,0,2150
1.25,860,2.0,0,0,7,0,1280
1.75,1890,1.0,0,0,7,0,1500
2.0,1240,1.0,0,0,7,0,1480
1.75,2200,1.0,0,0,7,1100,2590
2.5,1920,2.0,0,0,8,0,2310
2.5,1810,2.0,0,0,7,0,1760
2.5,1940,1.0,0,0,7,480,1750
2.5,2020,2.0,0,0,7,0,1940
1.5,2130,1.0,0,0,7,1030,1480
1.75,1730,1.0,0,0,7,500,1840
1.75,1390,1.0,0,0,7,0,1460
1.5,1260,1.0,0,0,7,0,1510
1.0,1270,1.0,0,0,6,620,1270
1.75,950,1.0,0,0,6,160,1360
1.0,1390,1.0,0,0,6,0,1420
2.5,1190,2.0,0,0,7,0,1190
1.75,2000,1.0,0,0,7,900,1880
1.0,2100,1.0,0,0,7,1050,1540
1.0,1490,1.0,0,0,7,0,1490
1.0,720,1.0,0,0,6,0,1357
1.5,980,2.0,0,0,7,0,1040
1.0,520,1.0,0,0,5,0,1572
2.25,3000,1.5,1,4,11,0,3000
6.5,7270,2.0,0,0,12,850,1800
4.5,5190,2.0,0,2,11,1800,4460
2.75,3720,1.0,0,4,10,1760,2900
4.25,5860,2.0,0,0,10,950,3320
2.25,4230,2.0,0,0,11,0,3890
3.0,3750,2.0,0,0,10,0,2930
2.5,3560,2.0,0,0,10,0,3660
3.5,3810,1.0,0,1,9,1250,3230
2.75,3780,2.0,0,0,10,0,3500
3.25,3540,2.0,0,0,9,0,1940
2.5,2830,2.0,0,0,10,850,2830
3.5,2730,2.0,0,0,8,330,1980
2.75,2790,2.0,0,0,10,0,3080
2.25,2950,1.5,0,0,9,0,3880
2.75,3100,2.0,0,0,8,1100,2130
2.5,2200,1.0,0,3,8,0,2700
3.0,2480,1.0,0,0,8,860,1260
2.5,2260,2.0,0,0,9,0,2690
2.25,2430,1.0,0,0,9,0,2750
3.25,2400,2.0,0,0,8,0,2280
2.5,2660,2.0,0,0,8,0,2330
2.5,2840,2.0,0,0,9,0,2790
2.25,1660,1.0,0,0,8,290,2100
2.25,2470,2.0,0,0,8,0,2270
2.5,2840,2.0,0,0,8,0,2840
2.5,2330,2.0,0,0,8,0,2210
1.75,2000,1.5,0,0,7,550,1430
1.75,1300,1.5,0,0,7,0,1590
3.0,3480,1.0,0,0,8,1140,2020
2.5,2030,2.0,0,0,8,0,2000
2.0,1400,1.0,0,0,7,0,1600
2.5,2100,2.0,0,2,8,0,1890
1.75,1750,1.0,0,1,7,450,2310
1.0,1840,1.5,0,0,6,710,1320
2.0,1410,1.0,0,0,7,0,1190
2.5,1930,1.0,0,0,9,0,2100
1.0,1150,1.0,0,0,7,0,1240
1.75,1750,1.5,0,0,7,700,1640
2.0,1650,1.0,0,0,7,650,1540
2.0,1150,1.0,0,0,7,290,1680
2.25,2170,1.0,0,2,8,900,2080
1.0,1620,1.5,0,0,7,0,2440
2.25,3060,2.0,0,0,8,0,2090
2.5,2600,2.0,0,0,10,0,2820
2.25,1445,2.0,0,0,7,145,1410
3.25,1410,3.0,0,0,8,0,1410
2.0,1340,3.0,0,0,8,0,1110
1.0,1420,1.0,0,0,7,240,1490
2.25,1640,1.0,0,0,8,0,1870
1.75,1780,1.0,0,0,6,0,1440
2.5,1940,2.0,0,0,8,0,1940
2.25,1352,3.0,0,0,8,0,1439
1.5,1470,1.0,0,0,7,0,1810
2.25,998,2.0,0,0,7,200,998
2.75,1970,1.0,0,0,8,800,1980
2.25,2310,2.0,0,0,8,0,2310
1.75,2320,1.0,0,0,7,1160,1410
2.25,1930,1.0,0,0,7,500,1714
2.25,2130,1.0,0,0,7,750,2300
1.5,1060,1.0,0,0,7,0,1420
2.5,2000,1.0,0,0,7,800,1800
1.75,1390,1.0,0,3,7,550,1390
2.0,2190,1.0,0,0,7,1010,2160
1.5,1390,1.0,0,0,6,0,1440
1.5,1500,1.0,0,0,7,0,1420
2.0,1690,1.0,0,0,7,0,1690
2.0,1920,1.0,0,0,7,410,1920
2.5,1420,1.0,0,0,7,400,2060
1.0,960,1.0,0,0,6,0,1860
1.0,810,1.0,0,0,6,0,1440
2.5,1850,2.0,0,0,8,0,2210
1.0,1030,1.0,0,0,7,150,1610
1.75,1220,1.0,0,0,7,0,1700
3.0,2163,2.0,0,0,7,0,1700
1.0,1360,1.0,0,0,6,0,1670
2.5,2000,2.0,0,0,7,0,1750
1.0,1430,1.5,0,0,7,0,1550
1.5,1020,2.0,0,0,7,0,1020
1.0,1160,1.0,0,0,7,0,1480
1.0,720,1.0,0,0,6,0,1250
2.0,2520,1.0,0,0,8,1120,1580
2.75,3060,1.0,0,0,8,1460,2190
2.5,1350,3.0,0,0,8,80,1350
2.5,2130,2.0,0,0,7,0,1670
1.0,1940,1.0,0,0,7,860,1940
2.5,2160,2.5,0,0,9,0,1720
2.5,1370,2.0,0,0,7,360,1450
2.75,3650,1.0,0,0,10,1290,3220
1.75,3380,1.0,0,0,8,1690,3260
3.5,3460,2.0,0,0,10,900,1860
3.25,2330,2.0,0,3,9,0,3880
3.75,3490,2.0,0,0,9,0,1810
4.5,5420,1.0,0,0,11,1530,4760
2.25,3070,1.0,0,3,9,1200,3070
1.75,1560,1.5,1,4,6,0,2890
2.5,3720,2.0,0,0,11,0,3530
3.75,3280,2.0,0,0,10,960,2400
3.25,3270,2.0,0,0,9,160,3600
2.5,2920,1.0,0,4,9,1120,2480
3.0,4530,1.5,0,0,9,1330,3430
2.25,3290,1.5,0,0,10,0,3170
2.75,2980,1.5,1,2,8,800,1890
2.75,3300,2.0,0,0,8,0,3180
2.0,2700,1.0,0,0,8,1350,1700
3.25,4700,2.0,0,0,10,1280,3640
2.5,2830,2.0,0,0,9,0,1950
3.25,2170,1.5,0,0,9,520,2720
2.5,2350,1.5,0,0,8,660,1750
1.75,2350,1.0,0,0,8,0,2240
2.75,2600,1.5,0,0,7,980,1960
4.5,4630,2.0,0,0,9,1420,4420
3.25,3680,2.0,0,0,9,840,3620
1.75,1720,1.0,0,0,9,0,2120
2.5,3110,2.0,0,0,9,0,3200
2.5,2980,2.0,0,0,9,90,2980
2.5,2620,2.0,0,0,9,0,2850
2.5,2760,1.5,0,0,7,1080,1850
2.5,2670,2.0,0,0,9,0,2560
3.0,2400,1.0,0,0,7,1200,1520
2.5,2550,1.0,0,0,8,1260,2270
2.5,3040,2.0,0,0,8,0,2790
2.5,1570,3.0,0,0,8,0,1570
2.0,1770,2.0,0,0,7,0,1340
1.5,1620,1.0,0,0,8,340,1880
1.75,2040,1.5,1,3,7,0,2040
3.0,2110,1.5,0,2,7,470,1380
1.75,2120,1.0,0,1,7,930,2070
2.0,2560,1.0,0,0,8,0,2360
2.25,2540,1.0,0,0,8,1090,1780
2.25,1800,1.0,0,0,8,440,2370
1.75,1940,1.0,0,0,7,910,1450
2.5,2780,1.0,0,0,8,1190,2170
2.25,1290,3.0,0,0,8,0,1350
1.0,980,1.0,0,0,7,220,1390
2.5,1230,2.0,0,0,8,360,1240
1.5,2020,1.0,0,0,6,830,2370
2.5,2010,2.0,0,0,8,620,1690
1.5,1770,1.0,0,0,8,610,2450
2.5,1480,3.0,0,0,7,0,1390
2.25,2200,2.0,0,0,8,0,2060
2.5,2160,2.0,0,0,8,0,2160
3.0,2480,1.0,0,0,7,1180,2290
2.5,980,2.0,0,0,8,310,980
1.0,1280,1.0,0,0,7,0,1290
2.0,1730,1.0,0,0,7,720,1080
2.5,2380,2.0,0,0,7,0,2310
1.0,910,1.5,0,0,7,0,1270
1.5,1720,1.5,0,0,7,0,1590
1.0,1080,1.0,0,0,7,0,1080
2.5,1940,2.0,0,0,8,0,2070
3.0,2100,1.0,0,0,7,850,2100
1.75,1440,1.0,0,0,7,480,1500
2.25,2180,2.0,0,0,7,0,1880
1.5,830,2.0,0,0,7,0,1120
1.75,1360,1.0,0,0,7,500,1830
1.0,1830,1.0,0,0,7,0,2150
1.0,1290,2.0,0,0,7,0,1290
1.0,1220,1.0,0,0,6,450,1540
1.0,810,1.0,0,0,7,0,980
1.0,990,1.0,0,0,7,0,1260
1.5,1350,1.0,0,0,6,0,1350
2.5,1040,2.0,0,0,7,320,1540
1.0,1460,1.0,0,0,7,0,1270
1.0,700,1.0,0,0,6,0,890
1.5,1370,1.0,0,0,7,0,1710
1.0,970,1.0,0,0,7,0,1430
1.0,1250,1.0,0,0,6,0,1820
2.5,5300,2.0,1,2,10,730,3890
4.0,4430,2.0,0,0,10,0,2470
4.5,5030,2.0,0,2,11,1780,3640
2.25,3120,2.0,0,0,9,0,3740
3.25,4860,2.0,0,2,11,1040,4040
3.25,3370,1.0,0,2,10,1370,4240
4.25,3530,2.0,0,0,10,0,1750
1.5,2740,2.0,0,0,9,810,1680
3.25,4400,2.0,0,0,11,0,4440
2.5,3490,2.0,0,3,11,0,3260
2.5,3520,2.5,0,0,9,870,2930
2.5,3560,1.0,0,2,10,1270,3290
2.75,3150,2.0,0,0,9,0,1560
3.0,2890,2.5,0,0,7,600,2180
1.75,2340,1.0,0,0,8,0,3120
3.25,3610,2.0,0,0,10,1170,3130
2.25,1780,1.5,0,0,9,390,1960
3.25,3190,2.0,0,0,9,0,2950
1.5,1310,1.0,0,0,7,220,1570
2.5,2030,2.0,0,0,9,0,2450
2.5,3000,2.0,0,0,9,0,2870
3.0,3410,1.0,0,0,8,1540,2390
2.0,1940,1.5,0,0,7,790,990
3.5,3400,2.0,0,0,9,0,3170
2.5,2740,2.0,0,0,8,0,2260
2.5,2210,2.0,0,0,9,0,1590
2.5,1740,2.0,0,0,9,0,2540
1.75,1950,1.0,0,0,8,580,2120
2.0,2260,1.0,0,0,8,830,2030
3.5,1810,2.0,0,0,8,370,1480
1.0,1710,1.5,0,0,7,0,1790
1.75,1680,1.0,0,0,7,810,1440
2.25,2710,2.0,0,0,8,0,2590
1.75,2090,1.0,0,0,8,1020,1310
2.0,2290,1.0,0,0,7,1100,1460
1.75,1580,1.0,0,0,7,400,2150
2.0,1530,1.0,0,0,7,0,1640
1.0,1440,2.0,0,0,7,0,1850
2.0,2250,1.0,0,0,7,1050,1440
4.0,3440,2.0,0,0,7,0,1420
2.0,1680,1.0,0,0,8,0,1570
1.75,1690,1.0,0,0,8,0,1840
3.0,2450,2.0,0,0,7,0,1060
3.5,2876,2.0,0,0,8,516,2390
2.5,1580,2.0,0,0,8,570,1680
